"Date","Price","Open","High","Low","Change %"
"Feb 11, 2015","99.610","99.620","99.670","98.890","0.12%"
"Feb 10, 2015","99.490","99.440","100.000","98.590","0.02%"
"Feb 09, 2015","99.470","99.200","100.040","98.660","0.76%"
"Feb 06, 2015","98.720","98.750","98.900","98.180","-0.06%"
"Feb 05, 2015","98.775","99.010","99.105","98.230","-0.04%"
"Feb 04, 2015","98.810","98.660","98.980","98.000","0.14%"
"Feb 03, 2015","98.670","98.590","98.950","98.100","-0.21%"
"Feb 02, 2015","98.880","98.490","99.210","98.330","-0.11%"
"Jan 30, 2015","98.985","98.940","99.245","98.230","0.01%"
"Jan 29, 2015","98.980","98.290","99.490","97.780","0.73%"
"Jan 28, 2015","98.260","98.400","98.940","97.590","0.02%"
"Jan 27, 2015","98.240","98.400","98.420","97.690","-0.04%"
"Jan 26, 2015","98.280","97.780","98.280","97.780","0.00%"
"Jan 23, 2015","98.280","98.300","99.070","97.690","-0.45%"
"Jan 22, 2015","98.720","98.590","98.820","97.890","0.10%"
"Jan 21, 2015","98.625","98.750","98.755","97.970","-0.09%"
"Jan 20, 2015","98.710","98.910","99.050","98.200","-0.03%"
"Jan 19, 2015","98.740","98.620","99.370","98.070","-0.25%"
"Jan 16, 2015","98.990","99.330","100.030","98.370","-0.30%"
"Jan 15, 2015","99.290","99.010","99.860","97.880","-0.20%"
"Jan 14, 2015","99.490","99.330","100.070","98.830","0.06%"
"Jan 13, 2015","99.430","99.340","99.500","98.740","-0.04%"
"Jan 12, 2015","99.470","99.440","100.110","98.850","-0.26%"
"Jan 09, 2015","99.730","99.970","100.030","99.170","-0.55%"
"Jan 08, 2015","100.280","101.120","101.130","99.650","-0.79%"
"Jan 07, 2015","101.080","101.620","101.700","100.560","-0.63%"
"Jan 06, 2015","101.720","101.390","101.800","100.800","0.26%"
"Jan 05, 2015","101.460","101.490","102.070","100.760","0.19%"
"Jan 02, 2015","101.270","101.490","102.070","100.690","-0.10%"
"Jan 01, 2015","101.370","101.070","101.530","100.580","0.51%"
"Dec 31, 2014","100.860","101.300","101.900","100.360","-0.55%"
